No.,週,カテゴリ,場面,日本語,英語フレーズ,使えるシーン例,発音メモ,音読回数,暗唱できた(○/×)
1,第1週,自己紹介,初対面,お会いできて嬉しいです、ずっとお目にかかりたかったんです,It's great to finally meet you. I've been looking forward to it.,語学クラス・パーティーで,finally の ll を弱めに,,
2,第1週,自己紹介,出身,東京の出身ですが、今は休暇でこちらに来ています,I'm originally from Tokyo, but I'm here on vacation right now.,NYで雑談時,originally の i を曖昧母音で,,
3,第1週,自己紹介,職業,旅行関連の仕事をしていて、よくお客さんと話す機会があります,I work in the travel industry, so I often get to talk with customers.,自己紹介の発展,industry の d を弱く,,
4,第1週,自己紹介,趣味,休みの日はカフェ巡りをしたり、写真を撮ったりしています,On my days off, I like to go café-hopping and take photos.,会話を広げる時,café-hopping をひと続きに,,
5,第1週,近況,体調,最近時差ぼけがひどくて、夜中に目が覚めてしまうんです,I've been struggling with jet lag lately and keep waking up in the middle of the night.,渡米直後の会話,struggling の str を強く,,
6,第1週,近況,予定,9月までこちらに滞在する予定で、それまで英語を伸ばしたいんです,I'm planning to stay here until September and want to improve my English by then.,目標を伝える時,until を「アンティル」に近く,,
7,第1週,別れ際,連絡,連絡先を交換しませんか?また会えたら嬉しいです,Would you like to exchange contact info? It'd be great to meet up again.,別れ際,Would you の d を飲み込む,,
8,第1週,つなぎ,考え中,えっと、何て言えばいいかな…ちょっと考えさせてください,Hmm, how should I put this... let me think for a sec.,言葉に詰まった時,put this を一息で,,
9,第1週,聞き返し,聞き取れない,すみません、もう少しゆっくり話していただけますか?,Sorry, could you say that a little more slowly?,聞き取れない時,could you を「クッヂュ」,,
10,第1週,確認,意味確認,それってつまり〜という意味ですか?,Does that mean ~, in other words?,理解確認,in other words の th を強く,,
11,第2週,カフェ,注文,ホットのラテをミディアムで、豆乳に変更してもらえますか?,Can I get a medium hot latte with soy milk instead of regular?,スタバ等で,instead of を「インステドヴ」,,
12,第2週,カフェ,カスタム,シロップは抜きで、シナモンを多めにかけてください,No syrup, please, and could you add extra cinnamon on top?,カスタム注文,No syrup の上昇調,,
13,第2週,レストラン,予約,今夜7時、2名で予約を入れたいのですが空いていますか?,I'd like to make a reservation for two at 7 tonight—do you have anything available?,電話/対面予約,have anything を一息で,,
14,第2週,レストラン,アレルギー,ナッツアレルギーがあるのですが、これは入っていますか?,I have a nut allergy—does this dish contain any nuts?,メニュー確認,nut allergy の t を飲み込む,,
15,第2週,レストラン,お薦め,おすすめはありますか?この辺の名物が食べたいんです,What would you recommend? I'd love to try something local.,お薦めを聞く,would you の連結,,
16,第2週,レストラン,会計,お会計をお願いします、別々でもいいですか?,Could we get the check, please? Can we split it?,会計時,split it を「スプリディッ」,,
17,第2週,レストラン,チップ,カードで払いますが、チップは18%でお願いします,I'll pay by card, and I'd like to leave an 18% tip.,支払い時,18 を「エイティーン」とハッキリ,,
18,第2週,カフェ,持ち帰り,テイクアウトで、あと熱いままで持ち運べるようにしてください,To go, please, and could you make sure it stays hot on the way?,持ち帰り,To go の go を強く,,
19,第2週,レストラン,問題,このスープ、頼んだものと違うみたいです,Excuse me, I don't think this is the soup I ordered.,間違い指摘,I don't think を一息で,,
20,第2週,レストラン,感謝,とても美味しかったです、料理人さんに伝えてもらえますか?,That was delicious—could you pass my compliments to the chef?,食後,compliments を「カンプリメンツ」,,
21,第3週,地下鉄,行き方,タイムズスクエアに行きたいんですが、どの路線に乗ればいいですか?,I want to get to Times Square—which line should I take?,地下鉄駅,which line を強く,,
22,第3週,地下鉄,乗換,グランドセントラルでシャトルに乗り換えるんでしたっけ?,Do I transfer to the shuttle at Grand Central, right?,乗換確認,transfer の trans を強く,,
23,第3週,バス,確認,このバス、ブルックリン橋を通りますか?,Does this bus go over the Brooklyn Bridge?,バス停で,Does this を「ダ ディス」,,
24,第3週,徒歩,道順,角を右に曲がって、信号を2つ越えたところにあります,Turn right at the corner and go past two traffic lights.,道案内,past を強く,,
25,第3週,タクシー,行き先,JFK空港まで、ターミナル4でお願いします,JFK Airport, Terminal 4, please.,タクシー,Terminal の i を曖昧に,,
